食 品 群,食 品 番 号,索 引 番 号,可  食  部   100  g  当  た  り,,,,,可  食  部   100  g  当  た  り,,備  考
,,,食 品 名,脂質,炭水化物,無 機 質,,ビタミン  ,食塩相当量,
,,,,コレステロール,食物繊維総量,カ リ ウ ム,カ ル シ ウ ム,ビタミンC,,
,,,,,,,,,,
,,,単位,mg,(……………………………… g ……………………………),(…………………………… mg ……………………………),,mg,(……g……),
,,,成分識別子,CHOLE,FIB-,K,CA,VITC,NACL_EQ,
01,01001,0001,アマランサス 玄穀,(0),7.4,600,160,(0),0,
01,01002,0002,あわ 精白粒,(0),3.3,300,14,0,0,"うるち、もちを含む
歩留り： 70～80 %"
01,01003,0003,あわ あわもち,0,1.5,62,5,0,0,原材料配合割合： もちあわ50、もち米50
01,01004,0004,えんばく オートミール,(0),9.4,260,47,(0),0,別名： オート、オーツ
01,01005,0005,おおむぎ 七分つき押麦,(0),10.3,220,23,(0),0,歩留り： 玄皮麦60～65 %、玄裸麦65～70 %
01,01006,0006,おおむぎ 押麦 乾,(0),12.2,210,21,(0),0,"歩留り： 玄皮麦45～55 %、玄裸麦55～65 %
食物繊維：AOAC2011.25法"
01,01170,0007,おおむぎ 押麦 めし,(0),4.2,38,6,(0),0,"乾35 g相当量を含む
食物繊維：AOAC2011.25法"
01,01007,0008,おおむぎ 米粒麦,(0),8.7,170,17,(0),0,"別名： 切断麦
白麦を含む
歩留り： 玄皮麦40～50 %、玄裸麦50～60 %"
01,01008,0009,おおむぎ 大麦めん 乾,(0),6.3,240,27,(0),2.8,原材料配合割合： 大麦粉 50、小麦粉 50
01,01009,0010,おおむぎ 大麦めん ゆで,(0),2.5,10,12,(0),0.2,原材料配合割合： 大麦粉 50、小麦粉 50
01,01010,0011,おおむぎ 麦こがし,(0),15.5,490,43,(0),0,別名： こうせん、はったい粉
01,01167,0012,キヌア 玄穀,0,6.2,580,46,0,0.1,
01,01011,0013,きび 精白粒,(0),1.6,200,9,0,0,"うるち、もちを含む
歩留り： 70～80 %"
01,01012,0014,こむぎ ［玄穀］ 国産 普通,(0),14.0,440,26,(0),0,食物繊維：AOAC2011.25法
01,01013,0015,こむぎ ［玄穀］ 輸入 軟質,(0),11.2,390,36,(0),0,
01,01014,0016,こむぎ ［玄穀］ 輸入 硬質,(0),11.4,340,26,(0),0,
01,01015,0017,こむぎ ［小麦粉］ 薄力粉 1等,(0),2.5,110,20,(0),0,(100 g： 182 mL、100 mL：55 g)
01,01016,0018,こむぎ ［小麦粉］ 薄力粉 2等,(0),2.6,130,23,(0),0,(100 g： 182 mL、100 mL：55 g)
01,01018,0019,こむぎ ［小麦粉］ 中力粉 1等,(0),2.8,100,17,(0),0,(100 g： 182 mL、100 mL：55 g)
01,01019,0020,こむぎ ［小麦粉］ 中力粉 2等,(0),2.1,110,24,(0),0,(100 g： 182 mL、100 mL：55 g)
01,01020,0021,こむぎ ［小麦粉］ 強力粉 1等,(0),2.7,89,17,(0),0,(100 g： 182 mL、100 mL：55 g)
01,01021,0022,こむぎ ［小麦粉］ 強力粉 2等,(0),2.1,86,21,(0),0,(100 g： 182 mL、100 mL：55 g)
